L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6
5,2,0,0,5,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,44,0,0,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,2,0,0,7,0,0,0,1,0,3,2,3,0,0,3,0,0,0,0,0,26,0,0,4,2,0,4,0,0,0,6,0,0,0,0,0,0,0,4,0,9
5,2,3,0,7,0,0,0,3,0,3,2,3,0,0,7,0,0,0,0,0,51,0,0,8,2,0,8,0,0,1,6,0,0,2,0,3,0,0,4,0,22
0,2,3,0,9,0,0,0,3,0,3,2,7,0,2,7,0,0,7,0,2,21,0,0,8,2,0,4,0,0,1,6,0,0,2,1,3,0,0,4,0,2
66,2,3,0,13,4,0,0,3,0,3,2,4,0,2,7,4,0,12,0,2,27,0,4,8,4,0,4,0,0,1,6,0,0,2,4,3,0,3,4,2,59
27,2,3,0,14,4,0,0,3,0,3,2,6,0,2,7,4,0,12,0,2,7,0,4,8,4,0,4,0,2,1,6,0,0,2,4,10,2,3,0,8,108
12,4,3,0,15,4,0,0,3,0,3,2,2,0,2,7,2,0,12,0,2,67,0,4,8,4,0,9,0,2,1,10,0,3,2,4,10,4,3,0,8,86
2,4,0,0,23,4,0,0,3,0,3,2,2,0,2,0,5,2,12,0,2,32,0,4,8,4,0,5,0,2,0,4,0,3,2,4,7,4,13,0,8,53
10,4,0,3,26,4,0,0,5,0,10,2,0,0,2,0,5,2,12,0,2,20,3,4,4,2,0,5,0,11,0,4,0,13,0,0,7,4,13,0,8,52
12,4,0,3,20,4,16,0,11,0,15,2,0,0,2,0,2,2,6,0,2,14,3,4,4,2,0,5,0,9,0,4,0,24,0,0,7,0,13,0,8,20
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
7,4,0,6,23,4,16,0,11,0,18,4,4,0,2,0,4,2,6,0,6,4,3,7,4,2,0,5,0,13,0,4,0,29,0,9,7,0,17,0,8,7
