L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,30
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7
9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,165,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,8
8,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,154,0,1,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,7
45,0,0,4,2,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,1,179,0,4,9,8,0,0,2,3,4,0,0,0,2,0,0,0,6,0,0,31
20,0,3,7,2,0,0,0,0,5,1,0,0,1,0,0,0,1,5,0,2,165,0,4,9,8,0,0,4,2,4,4,0,0,2,2,0,0,6,0,4,36
13,0,3,7,4,0,0,0,0,6,1,0,3,3,0,0,0,5,5,0,2,143,1,4,9,8,0,0,4,2,4,6,0,0,2,2,0,0,6,4,4,11
8,0,3,7,2,0,0,0,0,6,1,2,4,3,5,0,4,5,5,0,2,183,6,8,9,8,0,3,4,0,0,6,1,0,2,2,0,0,6,4,4,21
11,0,5,6,3,0,0,0,0,6,1,2,4,3,5,0,9,5,5,0,2,201,6,20,9,8,0,3,4,2,0,6,1,0,2,5,0,6,12,4,4,13
11,3,8,8,3,4,0,0,1,6,2,2,4,3,10,0,6,8,5,0,2,209,6,24,9,8,0,3,2,5,0,6,5,2,0,5,0,6,22,8,4,23
13,3,11,8,1,4,0,0,1,14,10,2,0,5,13,0,12,10,7,0,2,257,6,27,9,8,0,3,2,5,0,6,5,6,0,5,0,9,22,8,4,14
12,3,8,11,2,4,4,0,4,14,11,9,11,5,13,0,13,10,8,0,2,307,6,34,9,8,0,7,3,6,1,0,5,8,1,5,6,3,22,8,4,11
4,3,8,16,13,4,4,0,8,8,13,12,13,5,13,2,4,7,8,0,2,300,7,48,0,0,0,15,3,6,3,0,5,8,1,0,7,3,28,4,4,20
15,8,9,11,27,4,4,5,8,8,21,15,14,16,8,2,4,7,3,0,2,345,4,50,0,0,0,17,4,16,3,0,5,8,7,7,9,0,37,4,4,12
25,8,1,11,32,1,4,5,10,8,41,15,9,16,8,2,2,1,3,0,10,321,4,50,0,1,0,14,5,17,3,0,5,9,7,7,9,0,40,6,4,7
33,8,1,6,39,3,5,5,2,8,51,15,12,14,9,2,6,10,3,0,10,317,7,59,0,1,0,14,5,16,3,9,9,1,6,7,15,0,44,6,7,22
14,8,1,8,43,3,6,5,2,9,54,15,6,15,9,2,10,10,3,0,10,304,7,64,0,2,0,14,5,16,3,9,9,1,10,7,15,0,44,6,7,16
65,10,1,12,39,3,6,5,3,4,59,18,9,15,9,2,4,12,0,0,10,295,7,44,0,4,0,16,15,14,3,9,4,1,10,7,15,0,44,6,7,15
54,12,1,16,44,3,2,5,13,4,61,16,5,16,1,1,1,21,3,0,10,307,10,46,0,4,0,2,15,18,0,13,4,0,12,0,6,0,46,4,10,22
25,13,1,26,51,3,2,9,15,5,67,16,5,16,2,2,1,23,3,0,10,293,10,51,4,7,0,13,15,7,0,13,4,0,14,5,10,4,46,4,10,10
7,13,3,24,35,3,5,9,15,5,69,16,4,23,2,2,6,29,4,0,9,290,13,52,4,7,0,13,15,10,0,13,4,0,14,5,10,4,49,4,26,19
18,18,3,25,37,3,3,6,12,5,69,16,0,24,4,2,9,28,4,0,15,290,13,54,4,7,0,11,11,7,0,4,4,0,10,5,10,9,54,0,26,7
9,21,3,22,37,3,3,6,19,8,71,16,6,23,4,2,6,29,4,0,21,334,20,21,4,5,0,24,11,8,0,4,0,4,13,5,17,17,55,0,26,29
9,21,3,24,34,0,3,10,38,8,79,17,7,26,8,6,3,26,7,0,23,313,24,27,4,15,0,24,11,5,0,4,10,4,13,5,21,23,68,0,26,9
20,24,4,26,25,0,3,10,29,12,82,17,18,26,17,6,3,29,7,0,23,307,25,35,4,16,0,24,27,24,0,6,10,4,3,2,21,30,71,0,36,11
15,29,1,23,25,0,0,6,34,13,88,1,17,26,17,13,3,21,11,0,22,278,37,38,4,16,0,13,19,36,0,2,10,4,3,2,18,17,71,0,36,13
7,29,1,28,41,0,0,7,22,17,103,7,25,28,25,16,10,33,11,0,25,265,37,47,4,18,0,13,19,48,0,2,15,4,4,2,20,17,74,3,36,10
3,32,8,27,25,2,4,7,27,13,106,7,20,21,26,16,11,26,11,0,28,260,40,40,7,13,0,16,19,51,0,2,15,3,13,2,28,3,74,11,36,26
21,39,10,29,27,7,4,7,7,13,112,7,21,23,27,17,15,37,20,0,28,240,39,41,7,13,0,3,19,59,3,0,19,4,13,2,14,3,82,11,36,21
22,39,10,32,27,7,8,5,12,14,118,7,19,23,30,17,14,17,17,0,25,421,35,48,7,13,0,3,3,51,3,0,23,4,13,2,18,5,86,11,39,15
