L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,84
6,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,0,0,8,0,70
26,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,77,0,0,0,0,0,0,0,0,0,5,8,6,0,0,0,0,8,8,0,53
21,0,0,2,0,3,1,0,0,2,1,0,0,0,2,0,0,1,3,0,1,78,0,0,4,0,0,9,0,0,2,5,9,6,0,0,1,0,11,18,0,45
14,0,0,3,0,6,1,0,0,10,1,2,0,0,2,0,5,2,6,0,1,69,0,0,4,0,0,9,0,0,2,5,9,6,0,0,3,0,11,18,0,38
3,0,0,3,0,5,1,1,1,10,1,3,5,0,4,0,7,3,6,0,1,68,0,0,4,0,0,9,0,0,2,5,9,6,0,0,3,0,11,18,0,31
21,0,1,4,3,3,1,1,2,18,1,3,8,0,8,0,4,3,6,0,2,64,0,3,4,0,0,9,0,1,2,5,9,9,0,0,4,5,11,10,0,39
8,0,1,5,4,6,5,1,5,21,2,3,7,0,8,4,9,5,6,1,2,122,0,6,4,0,0,0,0,9,0,3,1,10,0,0,6,5,12,10,0,45
20,0,1,4,6,7,5,1,7,21,2,3,9,0,8,4,8,4,8,1,2,257,0,8,6,0,0,0,0,9,2,3,1,11,0,0,7,5,12,10,0,47
15,0,6,4,6,7,5,1,10,31,3,3,9,0,9,4,8,4,5,1,1,256,10,8,10,8,0,2,1,9,4,3,1,11,2,4,13,0,18,0,0,39
38,0,6,14,4,4,5,1,14,31,5,4,9,2,10,7,12,12,5,1,1,270,12,23,15,8,0,2,1,15,7,3,1,11,2,7,15,3,20,0,0,25
17,1,5,24,6,4,0,1,8,31,13,9,12,3,10,3,7,15,5,1,6,253,15,23,15,8,0,5,1,8,7,0,1,11,2,7,12,3,31,0,3,22
23,1,5,27,15,6,3,1,8,14,21,9,16,3,10,3,2,27,5,1,8,255,16,29,11,9,0,5,5,20,7,0,1,1,2,7,18,3,32,0,3,10
4,1,5,24,12,7,3,0,6,14,26,9,16,3,4,3,5,35,3,1,11,374,22,33,11,10,0,5,7,18,7,0,2,3,5,7,25,0,32,0,3,41
14,5,0,27,16,3,3,0,6,14,27,9,11,3,4,0,17,27,4,1,20,371,22,33,11,10,0,3,9,18,0,1,2,5,5,10,13,6,35,0,4,29
20,5,1,20,20,3,3,0,8,14,37,9,15,4,8,1,19,31,4,1,22,388,22,35,12,10,0,3,11,13,0,7,2,8,3,3,13,6,36,0,4,29
60,8,1,21,21,4,11,0,14,14,51,11,28,8,8,1,16,11,8,1,22,391,24,42,12,11,0,6,11,27,0,7,3,8,6,4,31,6,45,0,4,26
22,8,1,28,18,4,11,9,12,1,55,14,33,8,8,4,35,17,5,1,30,414,24,33,1,5,0,6,13,27,0,7,7,13,6,8,32,5,45,0,4,28
21,9,4,17,19,1,9,12,15,1,60,18,15,9,11,4,28,23,6,1,37,467,24,41,1,5,0,3,13,34,0,10,7,9,3,5,21,5,46,1,4,14
14,12,4,21,25,1,10,13,11,3,64,18,23,11,14,8,4,27,8,1,42,467,33,42,3,5,0,3,13,38,0,11,9,9,3,5,28,10,54,1,4,9
28,12,11,13,18,1,11,13,20,3,76,23,27,19,15,8,5,28,8,1,40,454,37,46,5,7,0,4,19,45,0,16,9,9,3,5,33,12,54,1,4,14
23,12,14,15,30,2,3,22,15,3,83,23,24,21,15,8,6,16,3,1,38,439,37,56,13,7,0,1,14,27,3,11,9,1,0,0,22,8,56,1,4,2
14,13,19,23,31,2,5,23,15,9,86,24,35,21,26,8,5,30,3,1,38,464,40,37,13,5,0,6,17,47,4,18,7,1,1,0,27,9,59,5,4,14
15,22,19,51,29,2,5,23,16,10,88,27,22,23,20,8,5,15,6,1,35,472,40,48,13,5,0,7,17,45,11,18,7,4,1,0,30,6,59,8,4,32
13,22,19,58,31,10,5,25,18,13,85,27,33,22,20,13,14,16,10,1,40,453,48,50,13,5,0,7,21,52,11,18,7,7,1,0,48,6,60,7,4,11
16,22,5,52,47,10,5,12,22,13,104,19,20,22,24,5,24,14,7,1,48,452,48,53,13,5,0,6,16,41,14,9,7,7,5,1,31,11,63,17,6,35
24,23,5,72,49,13,5,13,7,13,130,22,23,22,30,6,14,20,7,1,48,467,51,62,13,5,0,6,20,45,14,9,7,7,5,1,36,11,63,18,6,18
22,29,5,69,39,15,7,13,21,11,136,22,20,29,34,12,10,30,12,1,54,490,55,47,6,5,0,10,22,34,14,14,6,13,7,1,39,7,64,14,6,36
12,30,0,76,53,18,5,13,24,16,149,22,23,31,35,7,15,38,13,1,54,498,57,50,10,6,0,4,23,38,8,5,6,13,9,1,19,10,64,19,6,21
15,31,0,68,73,20,6,1,33,22,156,22,13,31,15,7,13,17,6,1,57,494,55,70,10,6,0,5,16,35,8,6,6,19,13,5,33,3,66,19,9,29
18,32,0,71,55,25,6,2,31,23,170,25,25,36,18,10,11,24,6,0,46,505,55,76,10,6,0,5,19,42,8,11,6,15,9,10,34,8,66,5,18,20
25,40,1,73,66,23,6,6,36,27,177,26,24,36,18,11,13,22,6,0,48,513,55,80,10,11,0,6,21,44,8,11,6,19,10,10,38,5,77,5,25,37
25,40,7,62,66,18,6,9,22,26,175,9,25,43,19,4,16,17,11,0,49,529,53,66,19,10,0,2,26,56,5,10,5,22,10,10,28,5,79,5,25,31
15,40,9,76,55,22,14,13,23,27,183,9,23,50,19,4,16,24,6,0,49,527,53,83,19,10,0,2,14,47,9,13,9,11,1,7,36,2,83,0,26,31
26,51,15,69,55,24,15,15,20,27,189,13,9,51,4,12,24,18,6,0,53,547,50,98,19,16,0,2,14,72,9,13,9,11,1,10,56,8,99,0,29,8
10,53,14,72,68,27,15,16,15,29,191,17,10,51,9,8,24,21,6,0,53,577,59,109,25,16,0,0,15,66,9,7,13,15,1,10,49,12,104,0,29,26
9,53,14,62,79,26,15,19,22,29,188,33,13,54,14,15,20,20,6,0,65,584,62,120,25,23,0,1,16,99,12,7,14,9,0,5,57,21,106,1,29,14
59,45,15,78,65,30,16,11,13,13,197,34,28,55,21,15,19,25,5,0,67,698,71,90,16,18,0,4,14,89,12,8,11,9,0,7,65,13,106,1,25,20
31,60,26,96,70,30,16,12,20,13,214,40,26,53,27,17,26,25,16,0,67,754,66,96,17,24,0,4,14,92,12,8,19,15,8,7,85,18,117,1,29,20
23,66,13,84,74,33,6,22,18,13,215,31,30,58,23,9,38,34,16,0,69,749,71,102,19,24,0,4,17,91,3,3,22,12,9,7,49,14,117,3,29,12
24,68,23,105,59,20,15,24,27,13,223,31,16,58,26,18,21,32,16,7,77,750,69,112,24,24,0,10,18,96,3,3,27,12,9,7,59,14,122,3,32,37
45,71,27,95,63,23,15,24,23,13,223,32,24,53,26,25,11,42,26,7,74,729,78,116,24,24,0,13,13,91,7,3,35,13,9,10,69,1,128,8,32,18
29,71,21,99,84,26,15,26,26,2,224,42,23,54,28,27,26,35,26,7,69,838,84,87,16,12,0,13,14,108,4,2,32,6,3,7,36,2,134,12,39,26
35,76,23,89,88,29,15,26,19,3,237,42,32,54,29,34,29,49,26,7,68,834,85,101,16,15,0,13,14,123,7,13,32,9,3,9,42,3,135,14,44,9
18,80,28,102,86,23,18,32,26,4,237,46,22,63,40,40,37,40,26,7,69,840,85,112,23,15,0,14,17,146,7,17,32,13,3,11,54,9,136,14,46,19
23,80,32,106,99,20,23,19,28,4,243,46,27,68,21,40,32,56,11,7,67,911,82,117,29,15,0,15,4,127,7,17,36,7,9,4,66,9,136,7,46,16
30,80,13,109,104,20,17,25,31,8,246,16,55,76,30,26,11,64,11,7,66,899,83,135,29,15,0,12,4,135,3,15,38,12,13,4,50,9,138,7,46,19
15,80,13,118,90,21,28,26,49,8,247,20,38,82,31,27,20,47,14,7,60,887,87,115,21,4,0,13,4,129,7,15,27,12,16,4,64,3,141,7,46,15
21,86,14,105,99,22,28,33,42,14,248,20,46,80,31,29,21,50,15,7,60,886,87,126,21,6,0,16,11,145,7,21,27,5,15,2,75,9,144,0,48,19
16,91,3,119,117,8,23,15,55,21,264,21,37,80,37,15,13,32,7,7,55,899,86,135,24,11,0,14,10,148,5,13,28,5,19,5,57,8,144,1,48,22
9,93,6,127,120,12,27,15,38,24,265,21,51,91,24,18,21,42,9,7,53,899,85,152,28,12,0,14,11,165,18,13,31,6,34,7,69,20,151,4,49,26
18,93,7,146,137,24,31,19,56,25,276,21,30,91,26,24,25,30,15,7,53,911,90,164,29,13,0,23,11,152,19,17,31,1,20,10,76,13,170,4,53,22
12,97,8,165,144,24,31,35,36,27,280,39,32,91,32,24,29,47,16,7,59,897,90,144,14,17,0,29,12,155,19,18,12,1,26,12,102,13,176,10,53,22
22,99,7,171,150,16,10,29,51,30,272,28,25,93,35,29,24,44,17,7,59,906,84,154,14,21,0,23,5,145,15,8,12,5,40,21,65,1,176,12,54,13
3,100,8,187,163,21,19,29,32,33,273,28,36,96,37,38,22,61,22,7,60,957,80,165,14,28,0,27,7,161,18,11,24,4,25,14,84,10,179,8,54,14
14,100,13,179,177,25,24,37,37,40,276,29,33,103,24,46,24,44,24,7,52,948,73,169,14,33,0,35,7,162,18,15,32,4,25,14,94,22,183,20,58,16
19,100,10,184,196,41,17,40,38,40,270,29,47,108,22,32,31,49,29,7,56,933,74,185,19,36,0,37,12,168,4,8,32,5,27,19,62,26,198,27,63,27
0,66,12,177,186,31,18,25,25,23,269,32,53,120,30,35,35,45,18,7,61,901,78,162,5,27,0,37,7,193,7,8,22,8,20,19,80,23,139,19,38,5
0,66,14,178,188,38,23,29,35,23,263,49,46,115,40,43,30,41,29,7,61,865,57,173,7,27,0,37,7,215,10,8,25,11,23,22,107,25,140,22,41,1
0,68,15,189,197,45,38,33,22,23,265,52,64,118,41,43,34,47,31,7,64,833,65,198,7,27,0,37,7,213,12,12,25,13,27,22,112,19,151,22,45,0
0,68,7,178,179,46,36,38,36,23,271,31,64,107,54,23,25,23,34,7,70,794,70,212,12,31,0,19,8,228,8,4,30,18,10,14,76,26,166,4,45,0
0,69,12,185,183,46,36,20,31,24,275,36,85,102,43,24,25,39,19,7,68,757,76,247,12,31,0,22,8,228,8,5,30,18,16,14,97,27,167,4,48,1
0,70,14,179,194,23,36,24,41,6,299,45,76,110,44,26,34,39,20,7,72,710,80,229,7,19,0,25,14,230,18,22,18,28,19,14,109,28,167,8,48,1
0,72,11,186,187,27,12,29,30,6,301,51,89,108,55,3,40,51,21,10,72,676,72,239,12,21,0,14,14,233,19,27,18,16,9,9,64,15,168,8,55,1
0,89,17,195,196,28,23,29,42,7,304,63,76,107,55,18,53,40,22,5,75,635,70,253,13,32,0,18,17,255,32,31,18,24,14,17,91,15,174,9,59,0
