id,num,inin,outout,stay,average,fromfrom,toto,allall,comm,num67,stay67,num643,stay643,num1649,stay1649,num1666,stay1666,num1743,stay1743,num1767,stay1767,num2354,stay2354,num2659,stay2659,num2715,stay2715,num2866,stay2866,num3233,stay3233,num3468,stay3468,num3890,stay3890,num4237,stay4237,num4356,stay4356,num4378,stay4378,num4524,stay4524,num4711,stay4711,num4887,stay4887,num5057,stay5057,num6037,stay6037,num6399,stay6399,num6737,stay6737,num6944,stay6944,num7379,stay7379,num7384,stay7384,num7622,stay7622,num7688,stay7688,num7837,stay7837,num7848,stay7848,num7987,stay7987,num7989,stay7989,num8177,stay8177,num8280,stay8280,num8388,stay8388,num8586,stay8586,num8644,stay8644,num8748,stay8748,num8763,stay8763,num8781,stay8781,num9281,stay9281,num9977,stay9977,way,wayPercent
941,16,31831,76725,44894,1474.3125,208,242,450,161,0,0,2,4337,1,341,2,703,1,258,0,0,0,0,1,496,4,820,0,0,2,745,0,0,1,170,0,0,4,2385,0,0,4,427,8,1877,0,0,0,0,2,2077,1,58,0,0,1,445,0,0,0,0,0,0,0,0,0,0,4,7416,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,0,0,0,0,0,0,0,0,0,21305,0.474562302
2672,20,30326,79992,49666,1000.75,158,120,278,107,0,0,1,2164,1,326,3,1336,4,1781,1,290,0,0,1,425,5,889,1,378,2,2617,1,446,3,630,0,0,0,0,3,1081,5,506,6,1422,0,0,0,0,1,2177,1,33,1,1292,3,1757,0,0,0,0,0,0,0,0,0,0,1,148,0,0,0,0,0,0,0,0,0,0,0,0,1,308,0,0,0,0,0,0,0,0,0,0,29651,0.597008014
4343,10,30342,48785,18443,827.7,7,15,22,4,1,52,1,1643,0,0,0,0,0,0,0,0,0,0,1,470,0,0,0,0,2,1879,1,561,2,724,0,0,0,0,0,0,1,105,1,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,272,1,2349,0,0,10166,0.551211842
4828,22,32126,80204,48078,1031.5,266,231,497,174,0,0,1,1553,1,433,2,651,2,658,1,488,4,1275,0,0,1,140,1,540,2,3500,0,0,2,468,1,472,2,915,0,0,2,223,2,480,0,0,1,1946,1,1385,1,35,0,0,1,548,0,0,0,0,0,0,0,0,1,405,5,5644,0,0,0,0,0,0,0,0,0,0,0,0,2,709,1,216,0,0,0,0,0,0,0,0,25385,0.527996173
4908,14,29379,81574,52195,856.2857143,516,125,641,45,0,0,0,0,0,0,0,0,2,1038,0,0,0,0,0,0,1,186,0,0,3,2075,0,0,4,849,0,0,0,0,0,0,0,0,2,369,0,0,0,0,0,0,1,65,0,0,1,459,2,802,1,459,0,0,0,0,1,469,1,3539,2,699,0,0,0,0,0,0,0,0,0,0,1,313,0,0,0,0,2,657,0,0,0,0,40207,0.770322828
6110,17,31600,77601,46001,1223.235294,211,219,430,57,0,0,1,1981,0,0,6,1731,3,912,0,0,0,0,1,426,3,636,2,1036,2,3275,0,0,0,0,0,0,1,644,0,0,4,458,2,504,0,0,0,0,2,3194,1,230,1,2046,3,1498,0,0,0,0,0,0,0,0,0,0,1,1327,0,0,0,0,0,0,0,0,0,0,0,0,1,372,0,0,1,516,0,0,0,0,0,0,25206,0.54794461
6534,17,31600,77600,46000,1223.764706,1121,884,2005,138,0,0,1,1981,0,0,6,1731,3,916,0,0,0,0,1,425,3,636,2,1040,2,3274,0,0,0,0,0,0,1,644,0,0,4,456,2,506,0,0,0,0,2,3196,1,231,1,2047,3,1497,0,0,0,0,0,0,0,0,0,0,1,1327,0,0,0,0,0,0,0,0,0,0,0,0,1,372,0,0,1,516,0,0,0,0,0,0,25196,0.54773913
6936,10,30884,72901,42017,1027,1140,1001,2141,215,0,0,0,0,0,0,1,419,1,621,0,0,0,0,0,0,0,0,0,0,2,2336,0,0,0,0,0,0,0,0,0,0,0,0,1,173,1,479,0,0,0,0,1,108,1,1567,1,632,0,0,0,0,0,0,0,0,0,0,1,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2918,0,0,0,0,0,0,31747,0.755575124
7339,27,29485,77129,47644,836.6296296,111,144,255,89,2,170,1,1238,0,0,1,408,1,356,2,736,0,0,2,694,2,364,1,316,1,2192,0,0,2,685,0,0,1,630,0,0,2,211,1,159,0,0,0,0,1,831,0,0,0,0,1,725,1,410,0,0,0,0,1,398,0,0,2,2734,0,0,0,0,1,610,3,968,2,536,3,770,2,763,1,144,1,3234,1,276,1,2022,0,0,25055,0.525879439
8129,17,30775,81750,50975,1340.176471,761,849,1610,146,0,0,1,2295,0,0,2,773,1,346,1,441,0,0,0,0,0,0,0,0,1,1144,2,1193,0,0,1,2257,2,1099,0,0,0,0,0,0,0,0,0,0,0,0,1,107,0,0,1,355,1,553,1,511,0,0,0,0,0,0,3,7964,1,325,0,0,0,0,0,0,1,322,0,0,0,0,2,425,1,2664,0,0,0,0,0,0,28192,0.553055419
