id,num,inin,outout,stay,average,fromfrom,toto,allall,comm,num67,stay67,num643,stay643,num1649,stay1649,num1666,stay1666,num1743,stay1743,num1767,stay1767,num2354,stay2354,num2659,stay2659,num2715,stay2715,num2866,stay2866,num3233,stay3233,num3468,stay3468,num3890,stay3890,num4237,stay4237,num4356,stay4356,num4378,stay4378,num4524,stay4524,num4711,stay4711,num4887,stay4887,num5057,stay5057,num6037,stay6037,num6399,stay6399,num6737,stay6737,num6944,stay6944,num7379,stay7379,num7384,stay7384,num7622,stay7622,num7688,stay7688,num7837,stay7837,num7848,stay7848,num7987,stay7987,num7989,stay7989,num8177,stay8177,num8280,stay8280,num8388,stay8388,num8586,stay8586,num8644,stay8644,num8748,stay8748,num8763,stay8763,num8781,stay8781,num9281,stay9281,num9977,stay9977,way,wayPercent
878,15,31552,76972,45420,1447.4,747,720,1467,110,0,0,0,0,0,0,0,0,3,10894,0,0,0,0,1,306,1,205,0,0,0,0,1,598,2,452,0,0,2,872,0,0,2,248,2,409,1,468,0,0,0,0,1,773,1,2235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1521,0,0,0,0,0,0,1,319,0,0,0,0,1,300,1,2102,0,0,23709,0.521994716
941,16,32026,81021,48995,1802,276,303,579,167,0,0,1,2267,0,0,0,0,1,3283,0,0,1,234,0,0,2,315,0,0,1,776,1,158,1,326,0,0,0,0,1,419,3,332,1,148,0,0,0,0,1,1556,1,1047,0,0,2,5204,0,0,0,0,0,0,0,0,0,0,2,6974,0,0,0,0,0,0,0,0,0,0,0,0,2,622,0,0,2,5162,0,0,0,0,0,0,20163,0.411531789
1197,18,30724,78066,47342,1721.722222,1134,1111,2245,155,0,0,0,0,0,0,1,3672,1,3319,1,497,0,0,0,0,0,0,1,583,0,0,0,0,2,358,1,1655,0,0,1,251,0,0,0,0,0,0,0,0,0,0,1,460,1,2073,2,7831,1,447,1,535,0,0,0,0,1,428,1,3463,1,441,0,0,0,0,0,0,0,0,1,338,0,0,0,0,1,3021,0,0,1,1610,0,0,16351,0.345380423
1217,13,32040,76386,44346,2384.769231,47,43,90,7,1,44,0,0,1,260,2,3814,2,5272,0,0,0,0,0,0,2,452,0,0,0,0,0,0,0,0,0,0,1,535,0,0,3,320,1,238,1,315,0,0,2,1751,0,0,0,0,3,11427,0,0,0,0,0,0,0,0,0,0,2,4818,0,0,0,0,0,0,0,0,0,0,0,0,4,1747,0,0,0,0,0,0,0,0,0,0,13344,0.300906508
1634,11,31332,80098,48766,1463.363636,10,20,30,2,0,0,0,0,0,0,0,0,2,7428,0,0,0,0,1,287,0,0,0,0,1,451,1,531,1,198,1,2022,0,0,1,386,2,248,1,200,0,0,0,0,0,0,1,530,0,0,1,3807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32669,0.669913464
1775,15,31837,77335,45498,2098.733333,237,259,496,126,0,0,0,0,1,422,1,3719,1,3780,0,0,0,0,0,0,1,181,0,0,2,1907,2,1248,0,0,0,0,1,396,0,0,2,232,2,417,0,0,0,0,0,0,1,925,1,1277,4,13683,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,247,0,0,1,3021,0,0,0,0,0,0,14017,0.308079476
1951,10,29165,80279,51114,1526.8,69,64,133,3,0,0,0,0,0,0,1,3760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,596,0,0,0,0,3,585,1,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,380,1,376,0,0,1,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7177,0,0,1,1748,1,44,35846,0.701295144
1980,10,30690,81285,50595,853.7,0,0,0,0,1,54,0,0,0,0,0,0,1,3446,1,446,0,0,0,0,1,170,1,380,0,0,0,0,3,637,0,0,0,0,0,0,0,0,1,164,0,0,0,0,0,0,0,0,1,1887,0,0,0,0,1,515,0,0,0,0,0,0,1,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42058,0.831267912
2231,14,32846,83378,50532,1882,254,408,662,39,0,0,0,0,0,0,1,3107,2,3298,0,0,0,0,0,0,3,1006,1,876,0,0,0,0,3,1178,0,0,3,1686,0,0,0,0,1,375,0,0,0,0,0,0,1,742,1,1776,0,0,0,0,0,0,1,4951,1,549,0,0,2,4371,0,0,3,1545,0,0,0,0,0,0,1,879,0,0,0,0,0,0,0,0,0,0,0,0,24184,0.478587826
2369,7,31359,48175,16816,1213.428571,0,0,0,0,0,0,0,0,0,0,0,0,1,3807,0,0,0,0,0,0,1,139,1,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,305,0,0,0,0,0,0,1,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,186,0,0,0,0,0,0,0,0,8322,0.494885823
