id,num,inin,outout,stay,average,fromfrom,toto,allall,comm,num67,stay67,num643,stay643,num1649,stay1649,num1666,stay1666,num1743,stay1743,num1767,stay1767,num2354,stay2354,num2659,stay2659,num2715,stay2715,num2866,stay2866,num3233,stay3233,num3468,stay3468,num3890,stay3890,num4237,stay4237,num4356,stay4356,num4378,stay4378,num4524,stay4524,num4711,stay4711,num4887,stay4887,num5057,stay5057,num6037,stay6037,num6399,stay6399,num6737,stay6737,num6944,stay6944,num7379,stay7379,num7384,stay7384,num7622,stay7622,num7688,stay7688,num7837,stay7837,num7848,stay7848,num7987,stay7987,num7989,stay7989,num8177,stay8177,num8280,stay8280,num8388,stay8388,num8586,stay8586,num8644,stay8644,num8748,stay8748,num8763,stay8763,num8781,stay8781,num9281,stay9281,num9977,stay9977,way,wayPercent
436,9,35331,83759,48428,1826.666667,592,496,1088,45,1,59,0,0,0,0,2,7971,0,0,0,0,0,0,0,0,2,1178,0,0,0,0,0,0,1,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,479,0,0,0,0,0,0,1,609,0,0,1,650,0,0,0,0,2,910,0,0,1,2408,0,0,0,0,0,0,31988,0.660526968
878,19,31272,80171,48899,1388.631579,588,721,1309,176,0,0,0,0,0,0,1,3880,0,0,0,0,0,0,0,0,3,993,2,757,0,0,1,772,2,1941,0,0,0,0,0,0,0,0,1,207,2,723,0,0,1,420,1,1069,0,0,1,3055,0,0,1,556,0,0,1,300,0,0,2,6880,1,242,0,0,0,0,0,0,2,765,0,0,1,359,1,229,1,2986,1,241,0,0,0,0,22515,0.460438864
941,14,30948,79896,48948,2456.285714,350,319,669,178,0,0,0,0,0,0,3,11084,2,4510,0,0,1,368,0,0,3,663,0,0,0,0,0,0,1,3093,0,0,1,412,1,385,2,244,1,270,0,0,0,0,0,0,1,773,0,0,1,3832,0,0,0,0,0,0,0,0,0,0,2,7372,0,0,0,0,0,0,0,0,0,0,0,0,2,961,2,412,0,0,0,0,0,0,0,0,14560,0.297458527
1197,19,30310,74028,43718,925.7368421,503,592,1095,71,0,0,1,1326,0,0,0,0,1,471,0,0,0,0,0,0,1,175,0,0,0,0,1,711,1,1367,0,0,2,1014,3,1231,2,199,1,163,0,0,0,0,2,2582,1,710,1,493,1,3801,0,0,0,0,0,0,1,372,0,0,1,1645,1,402,0,0,0,0,0,0,1,344,1,319,1,255,0,0,0,0,0,0,0,0,0,0,26129,0.59767144
1217,12,30532,73292,42760,2830.083333,64,42,106,6,1,37,1,1956,0,0,1,3746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1573,0,0,0,0,0,0,1,105,1,207,0,0,0,0,0,0,0,0,0,0,1,3076,0,0,0,0,1,4807,0,0,0,0,4,14814,0,0,0,0,0,0,0,0,0,0,0,0,1,336,1,180,1,3115,0,0,0,0,0,0,8799,0.205776427
1634,13,28822,74144,45322,990.9230769,21,15,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,506,1,1372,2,1559,3,3106,0,0,0,0,0,0,0,0,1,371,0,0,0,0,2,2970,1,84,0,0,0,0,2,1379,0,0,0,0,1,306,0,0,0,0,0,0,1,439,0,0,0,0,0,0,0,0,1,334,1,219,0,0,1,228,0,0,0,0,32440,0.715767177
1727,15,31208,72830,41622,1579.266667,775,898,1673,138,0,0,0,0,0,0,0,0,1,3768,0,0,0,0,1,277,2,850,0,0,0,0,0,0,0,0,0,0,1,532,0,0,1,95,2,500,1,361,0,0,2,1406,1,936,0,0,0,0,0,0,0,0,1,4282,0,0,0,0,1,3790,0,0,0,0,0,0,0,0,0,0,1,424,0,0,1,151,2,4033,0,0,1,2275,0,0,17933,0.430853875
1775,11,30143,73377,43234,2368.181818,311,305,616,198,0,0,3,5804,0,0,0,0,0,0,1,278,0,0,0,0,3,980,0,0,0,0,0,0,2,3337,0,0,1,602,1,331,2,241,1,150,0,0,0,0,0,0,1,696,0,0,3,9975,0,0,0,0,0,0,0,0,0,0,1,3647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17184,0.397464958
1951,16,30018,81287,51269,1174.375,75,68,143,4,0,0,0,0,0,0,1,1910,0,0,0,0,1,256,0,0,1,187,0,0,0,0,0,0,0,0,0,0,1,565,0,0,2,212,1,242,1,502,0,0,2,3694,0,0,2,2534,1,3869,1,615,0,0,0,0,1,235,0,0,1,3315,0,0,0,0,0,0,0,0,0,0,1,369,0,0,1,230,0,0,0,0,0,0,1,46,32479,0.633501726
1980,13,29145,73539,44394,1583.846154,0,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,1,493,0,0,0,0,0,0,0,0,1,1616,1,2052,0,0,0,0,0,0,1,192,1,269,0,0,1,1212,0,0,0,0,3,9834,0,0,1,484,0,0,0,0,0,0,0,0,0,0,0,0,1,790,0,0,0,0,1,425,0,0,1,199,1,2961,0,0,0,0,0,0,23804,0.536198585
