id,num,in,out,stay,average,from,to,all,comm,num67,stay67,num643,stay643,num1649,stay1649,num1666,stay1666,num1743,stay1743,num1767,stay1767,num2354,stay2354,num2659,stay2659,num2715,stay2715,num2866,stay2866,num3233,stay3233,num3468,stay3468,num3890,stay3890,num4237,stay4237,num4356,stay4356,num4378,stay4378,num4524,stay4524,num4711,stay4711,num4887,stay4887,num5057,stay5057,num6037,stay6037,num6399,stay6399,num6737,stay6737,num6944,stay6944,num7379,stay7379,num7384,stay7384,num7622,stay7622,num7688,stay7688,num7837,stay7837,num7848,stay7848,num7987,stay7987,num7989,stay7989,num8177,stay8177,num8280,stay8280,num8388,stay8388,num8586,stay8586,num8644,stay8644,num8748,stay8748,num8763,stay8763,num8781,stay8781,num9281,stay9281,num9977,stay9977,way,wayPercent
878,15.0,31552.0,76972.0,45420.0,1447.4,747.0,720.0,1467.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10894.0,0.0,0.0,0.0,0.0,1.0,306.0,1.0,205.0,0.0,0.0,0.0,0.0,1.0,598.0,2.0,452.0,0.0,0.0,2.0,872.0,0.0,0.0,2.0,248.0,2.0,409.0,1.0,468.0,0.0,0.0,0.0,0.0,1.0,773.0,1.0,2235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1521.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,319.0,0.0,0.0,0.0,0.0,1.0,300.0,1.0,2102.0,0.0,0.0,23709.0,0.521994715984
941,16.0,32026.0,81021.0,48995.0,1802.0,276.0,303.0,579.0,167.0,0.0,0.0,1.0,2267.0,0.0,0.0,0.0,0.0,1.0,3283.0,0.0,0.0,1.0,234.0,0.0,0.0,2.0,315.0,0.0,0.0,1.0,776.0,1.0,158.0,1.0,326.0,0.0,0.0,0.0,0.0,1.0,419.0,3.0,332.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,1556.0,1.0,1047.0,0.0,0.0,2.0,5204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,622.0,0.0,0.0,2.0,5162.0,0.0,0.0,0.0,0.0,0.0,0.0,20163.0,0.411531788958
1197,18.0,30724.0,78066.0,47342.0,1721.72222222,1134.0,1111.0,2245.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3672.0,1.0,3319.0,1.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,583.0,0.0,0.0,0.0,0.0,2.0,358.0,1.0,1655.0,0.0,0.0,1.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,460.0,1.0,2073.0,2.0,7831.0,1.0,447.0,1.0,535.0,0.0,0.0,0.0,0.0,1.0,428.0,1.0,3463.0,1.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,338.0,0.0,0.0,0.0,0.0,1.0,3021.0,0.0,0.0,1.0,1610.0,0.0,0.0,16351.0,0.345380423303
1217,13.0,32040.0,76386.0,44346.0,2384.76923077,47.0,43.0,90.0,7.0,1.0,44.0,0.0,0.0,1.0,260.0,2.0,3814.0,2.0,5272.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,535.0,0.0,0.0,3.0,320.0,1.0,238.0,1.0,315.0,0.0,0.0,2.0,1751.0,0.0,0.0,0.0,0.0,3.0,11427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13344.0,0.300906507915
1634,11.0,31332.0,80098.0,48766.0,1463.36363636,10.0,20.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7428.0,0.0,0.0,0.0,0.0,1.0,287.0,0.0,0.0,0.0,0.0,1.0,451.0,1.0,531.0,1.0,198.0,1.0,2022.0,0.0,0.0,1.0,386.0,2.0,248.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,530.0,0.0,0.0,1.0,3807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32669.0,0.669913464299
1775,15.0,31837.0,77335.0,45498.0,2098.73333333,237.0,259.0,496.0,126.0,0.0,0.0,0.0,0.0,1.0,422.0,1.0,3719.0,1.0,3780.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,181.0,0.0,0.0,2.0,1907.0,2.0,1248.0,0.0,0.0,0.0,0.0,1.0,396.0,0.0,0.0,2.0,232.0,2.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,925.0,1.0,1277.0,4.0,13683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,247.0,0.0,0.0,1.0,3021.0,0.0,0.0,0.0,0.0,0.0,0.0,14017.0,0.308079476021
1951,10.0,29165.0,80279.0,51114.0,1526.8,69.0,64.0,133.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,596.0,0.0,0.0,0.0,0.0,3.0,585.0,1.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,380.0,1.0,376.0,0.0,0.0,1.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7177.0,0.0,0.0,1.0,1748.0,1.0,44.0,35846.0,0.701295144188
1980,10.0,30690.0,81285.0,50595.0,853.7,0.0,0.0,0.0,0.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3446.0,1.0,446.0,0.0,0.0,0.0,0.0,1.0,170.0,1.0,380.0,0.0,0.0,0.0,0.0,3.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1887.0,0.0,0.0,0.0,0.0,1.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42058.0,0.831267911849
2231,14.0,32846.0,83378.0,50532.0,1882.0,254.0,408.0,662.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3107.0,2.0,3298.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1006.0,1.0,876.0,0.0,0.0,0.0,0.0,3.0,1178.0,0.0,0.0,3.0,1686.0,0.0,0.0,0.0,0.0,1.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,742.0,1.0,1776.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4951.0,1.0,549.0,0.0,0.0,2.0,4371.0,0.0,0.0,3.0,1545.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24184.0,0.478587825536
2369,7.0,31359.0,48175.0,16816.0,1213.42857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3807.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,139.0,1.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8322.0,0.494885823026
2672,15.0,32267.0,80140.0,47873.0,2104.33333333,469.0,364.0,833.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2930.0,1.0,2922.0,3.0,1266.0,0.0,0.0,0.0,0.0,2.0,337.0,0.0,0.0,2.0,1028.0,1.0,626.0,1.0,436.0,0.0,0.0,0.0,0.0,1.0,374.0,2.0,238.0,4.0,650.0,0.0,0.0,0.0,0.0,2.0,1961.0,1.0,1002.0,0.0,0.0,1.0,3677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16308.0,0.340651306582
